liga,grupo,posicao,time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",3,Saudi Arabia,10,3,4,3,7,8,,13
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",4,Indonesia,10,3,3,4,9,20,,12
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",5,China,10,3,0,7,7,20,,9
World Cup Qual. AFC,"AFC Qualification, Round 3, Group C",6,Bahrain,10,1,3,6,5,16,,6
World Cup Qual. AFC,"AFC Qualification, Round 4, Group A",1,Qatar,2,1,1,0,2,1,,4
World Cup Qual. AFC,"AFC Qualification, Round 4, Group A",2,United Arab Emirates,2,1,0,1,3,3,,3
World Cup Qual. AFC,"AFC Qualification, Round 4, Group A",3,Oman,2,0,1,1,1,2,,1
World Cup Qual. AFC,"AFC Qualification, Round 4, Group B",1,Saudi Arabia,2,1,1,0,3,2,,4
World Cup Qual. AFC,"AFC Qualification, Round 4, Group B",2,Iraq,2,1,1,0,1,0,,4
World Cup Qual. AFC,"AFC Qualification, Round 4, Group B",3,Indonesia,2,0,0,2,2,4,,0
World Cup Qual. CAF,"AFC Qualification, Round 2, Group A",1,Qatar,6,5,1,0,18,3,,16
World Cup Qual. CAF,"AFC Qualification, Round 2, Group A",2,Kuwait,6,2,1,3,6,6,,7
World Cup Qual. CAF,"AFC Qualification, Round 2, Group A",3,India,6,1,2,3,3,7,,5
World Cup Qual. CAF,"AFC Qualification, Round 2, Group A",4,Afghanistan,6,1,2,3,3,14,,5
World Cup Qual. CAF,"AFC Qualification, Round 2, Group B",1,Japan,6,6,0,0,24,0,,18
World Cup Qual. CAF,"AFC Qualification, Round 2, Group B",2,North Korea,6,3,0,3,11,7,,9
World Cup Qual. CAF,"AFC Qualification, Round 2, Group B",3,Syria,6,2,1,3,9,12,,7
World Cup Qual. CAF,"AFC Qualification, Round 2, Group B",4,Myanmar,6,0,1,5,3,28,,1
World Cup Qual. CAF,"AFC Qualification, Round 2, Group C",1,South Korea,6,5,1,0,20,1,,16
World Cup Qual. CAF,"AFC Qualification, Round 2, Group C",2,China,6,2,2,2,9,9,,8
World Cup Qual. CAF,"AFC Qualification, Round 2, Group C",3,Thailand,6,2,2,2,9,9,,8
World Cup Qual. CAF,"AFC Qualification, Round 2, Group C",4,Singapore,6,0,1,5,5,24,,1
World Cup Qual. CAF,"AFC Qualification, Round 2, Group D",1,Oman,6,4,1,1,11,2,,13
World Cup Qual. CAF,"AFC Qualification, Round 2, Group D",2,Kyrgyzstan,6,3,2,1,13,7,,11
World Cup Qual. CAF,"AFC Qualification, Round 2, Group D",3,Malaysia,6,3,1,2,9,9,,10
World Cup Qual. CAF,"AFC Qualification, Round 2, Group D",4,Chinese Taipei,6,0,0,6,2,17,,0
World Cup Qual. CAF,"AFC Qualification, Round 2, Group E",1,Iran,6,4,2,0,16,4,,14
World Cup Qual. CAF,"AFC Qualification, Round 2, Group E",2,Uzbekistan,6,4,2,0,13,4,,14
World Cup Qual. CAF,"AFC Qualification, Round 2, Group E",3,Turkmenistan,6,0,2,4,4,14,,2
World Cup Qual. CAF,"AFC Qualification, Round 2, Group E",4,Hong Kong,6,0,2,4,4,15,,2
World Cup Qual. CAF,"AFC Qualification, Round 2, Group F",1,Iraq,6,6,0,0,17,2,,18
World Cup Qual. CAF,"AFC Qualification, Round 2, Group F",2,Indonesia,6,3,1,2,8,8,,10
World Cup Qual. CAF,"AFC Qualification, Round 2, Group F",3,Vietnam,6,2,0,4,6,10,,6
World Cup Qual. CAF,"AFC Qualification, Round 2, Group F",4,Philippines,6,0,1,5,3,14,,1
World Cup Qual. CAF,"AFC Qualification, Round 2, Group G",1,Jordan,6,4,1,1,16,4,,13
World Cup Qual. CAF,"AFC Qualification, Round 2, Group G",2,Saudi Arabia,6,4,1,1,12,3,,13
World Cup Qual. CAF,"AFC Qualification, Round 2, Group G",3,Tajikistan,6,2,2,2,11,7,,8
World Cup Qual. CAF,"AFC Qualification, Round 2, Group G",4,Pakistan,6,0,0,6,1,26,,0
World Cup Qual. CAF,"AFC Qualification, Round 2, Group H",1,United Arab Emirates,6,5,1,0,16,2,,16
World Cup Qual. CAF,"AFC Qualification, Round 2, Group H",2,Bahrain,6,3,2,1,11,3,,11
World Cup Qual. CAF,"AFC Qualification, Round 2, Group H",3,Yemen,6,1,2,3,5,9,,5
World Cup Qual. CAF,"AFC Qualification, Round 2, Group H",4,Nepal,6,0,1,5,2,20,,1
World Cup Qual. CAF,"AFC Qualification, Round 2, Group I",1,Australia,6,6,0,0,22,0,,18
World Cup Qual. CAF,"AFC Qualification, Round 2, Group I",2,Palestine,6,2,2,2,6,6,,8
World Cup Qual. CAF,"AFC Qualification, Round 2, Group I",3,Lebanon,6,1,3,2,5,8,,6
World Cup Qual. CAF,"AFC Qualification, Round 2, Group I",4,Bangladesh,6,0,1,5,1,20,,1
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",1,Iran,10,7,2,1,19,8,,23
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",2,Uzbekistan,10,6,3,1,14,7,,21
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",3,United Arab Emirates,10,4,3,3,15,8,,15
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",4,Qatar,10,4,1,5,17,24,,13
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",5,Kyrgyzstan,10,2,2,6,12,18,,8
World Cup Qual. CAF,"AFC Qualification, Round 3, Group A",6,North Korea,10,0,3,7,9,21,,3
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",1,South Korea,10,6,4,0,20,7,,22
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",2,Jordan,10,4,4,2,16,8,,16
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",3,Iraq,10,4,3,3,9,9,,15
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",4,Oman,10,3,2,5,9,14,,11
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",5,Palestine,10,2,4,4,10,13,,10
World Cup Qual. CAF,"AFC Qualification, Round 3, Group B",6,Kuwait,10,0,5,5,7,20,,5
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",1,Japan,10,7,2,1,30,3,,23
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",2,Australia,10,5,4,1,16,7,,19
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",3,Saudi Arabia,10,3,4,3,7,8,,13
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",4,Indonesia,10,3,3,4,9,20,,12
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",5,China,10,3,0,7,7,20,,9
World Cup Qual. CAF,"AFC Qualification, Round 3, Group C",6,Bahrain,10,1,3,6,5,16,,6
World Cup Qual. CAF,"AFC Qualification, Round 4, Group A",1,Qatar,2,1,1,0,2,1,,4
World Cup Qual. CAF,"AFC Qualification, Round 4, Group A",2,United Arab Emirates,2,1,0,1,3,3,,3
World Cup Qual. CAF,"AFC Qualification, Round 4, Group A",3,Oman,2,0,1,1,1,2,,1
World Cup Qual. CAF,"AFC Qualification, Round 4, Group B",1,Saudi Arabia,2,1,1,0,3,2,,4
World Cup Qual. CAF,"AFC Qualification, Round 4, Group B",2,Iraq,2,1,1,0,1,0,,4
World Cup Qual. CAF,"AFC Qualification, Round 4, Group B",3,Indonesia,2,0,0,2,2,4,,0
World Cup Qual. CONCACAF,"2nd round, Group A",1,Honduras,4,4,0,0,12,2,,12
World Cup Qual. CONCACAF,"2nd round, Group A",2,Bermuda,4,2,1,1,9,8,,7
World Cup Qual. CONCACAF,"2nd round, Group A",3,Cuba,4,2,0,2,6,5,,6
World Cup Qual. CONCACAF,"2nd round, Group A",4,Cayman Islands,4,1,0,3,1,9,,3
World Cup Qual. CONCACAF,"2nd round, Group A",5,Antigua and Barbuda,4,0,1,3,1,5,,1
World Cup Qual. CONCACAF,"2nd round, Group B",1,Costa Rica,4,4,0,0,17,1,,12
World Cup Qual. CONCACAF,"2nd round, Group B",2,Trinidad and Tobago,4,2,1,1,16,7,,7
World Cup Qual. CONCACAF,"2nd round, Group B",3,Grenada,4,2,1,1,11,7,,7
World Cup Qual. CONCACAF,"2nd round, Group B",4,Saint Kitts and Nevis,4,1,0,3,5,13,,3
World Cup Qual. CONCACAF,"2nd round, Group B",5,Bahamas,4,0,0,4,1,22,,0
World Cup Qual. CONCACAF,"2nd round, Group C",1,Curaçao,4,4,0,0,15,2,,12
World Cup Qual. CONCACAF,"2nd round, Group C",2,Haiti,4,3,0,1,11,7,,9
World Cup Qual. CONCACAF,"2nd round, Group C",3,Saint Lucia,4,1,1,2,5,9,,4
World Cup Qual. CONCACAF,"2nd round, Group C",4,Aruba,4,0,2,2,3,10,,2
World Cup Qual. CONCACAF,"2nd round, Group C",5,Barbados,4,0,1,3,4,10,,1
World Cup Qual. CONCACAF,"2nd round, Group D",1,Panama,4,4,0,0,10,1,,12
World Cup Qual. CONCACAF,"2nd round, Group D",2,Nicaragua,4,3,0,1,9,4,,9
World Cup Qual. CONCACAF,"2nd round, Group D",3,Guyana,4,2,0,2,6,4,,6
World Cup Qual. CONCACAF,"2nd round, Group D",4,Montserrat,4,1,0,3,3,10,,3
World Cup Qual. CONCACAF,"2nd round, Group D",5,Belize,4,0,0,4,1,10,,0
World Cup Qual. CONCACAF,"2nd round, Group E",1,Jamaica,4,4,0,0,8,2,,12
World Cup Qual. CONCACAF,"2nd round, Group E",2,Guatemala,4,3,0,1,13,5,,9
World Cup Qual. CONCACAF,"2nd round, Group E",3,Dominican Republic,4,2,0,2,11,5,,6
World Cup Qual. CONCACAF,"2nd round, Group E",4,Dominica,4,1,0,3,5,14,,3
World Cup Qual. CONCACAF,"2nd round, Group E",5,British Virgin Islands,4,0,0,4,0,11,,0
World Cup Qual. CONCACAF,"2nd round, Group F",1,Suriname,4,3,1,0,10,2,,10
World Cup Qual. CONCACAF,"2nd round, Group F",2,El Salvador,4,2,2,0,7,2,,8
World Cup Qual. CONCACAF,"2nd round, Group F",3,Puerto Rico,4,2,1,1,10,2,,7
World Cup Qual. CONCACAF,"2nd round, Group F",4,Saint Vincent and the Grenadines,4,1,0,3,9,9,,3
World Cup Qual. CONCACAF,"2nd round, Group F",5,Anguilla,4,0,0,4,0,21,,0
World Cup Qual. CONCACAF,"3rd round, Group A",1,Panama,6,3,3,0,9,4,,12
World Cup Qual. CONCACAF,"3rd round, Group A",2,Suriname,6,2,3,1,9,6,,9
World Cup Qual. CONCACAF,"3rd round, Group A",3,Guatemala,6,2,2,2,8,7,,8
World Cup Qual. CONCACAF,"3rd round, Group A",4,El Salvador,6,1,0,5,2,11,,3
World Cup Qual. CONCACAF,"3rd round, Group B",1,Curaçao,6,3,3,0,13,3,,12
World Cup Qual. CONCACAF,"3rd round, Group B",2,Jamaica,6,3,2,1,11,3,,11
World Cup Qual. CONCACAF,"3rd round, Group B",3,Trinidad and Tobago,6,1,4,1,7,6,,7
World Cup Qual. CONCACAF,"3rd round, Group B",4,Bermuda,6,0,1,5,4,23,,1
World Cup Qual. CONCACAF,"3rd round, Group C",1,Haiti,6,3,2,1,9,6,,11
World Cup Qual. CONCACAF,"3rd round, Group C",2,Honduras,6,2,3,1,5,2,,9
World Cup Qual. CONCACAF,"3rd round, Group C",3,Costa Rica,6,1,4,1,8,6,,7
World Cup Qual. CONCACAF,"3rd round, Group C",4,Nicaragua,6,1,1,4,4,12,,4
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",1,Argentina,18,12,2,4,31,10,,38
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",2,Ecuador,18,8,8,2,14,5,,29
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",3,Colombia,18,7,7,4,28,18,,28
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",4,Uruguay,18,7,7,4,22,12,,28
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",5,Brazil,18,8,4,6,24,17,,28
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",6,Paraguay,18,7,7,4,14,10,,28
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",7,Bolivia,18,6,2,10,17,35,,20
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",8,Venezuela,18,4,6,8,18,28,,18
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",9,Peru,18,2,6,10,6,21,,12
World Cup Qual. CONMEBOL,"Qualification, CONMEBOL",10,Chile,18,2,5,11,9,27,,11
World Cup Qual. OFC,"OFC, Group A",1,New Caledonia,3,2,1,0,7,4,,7
World Cup Qual. OFC,"OFC, Group A",2,Fiji,3,1,2,0,5,4,,5
World Cup Qual. OFC,"OFC, Group A",3,Solomon Islands,3,1,0,2,4,5,,3
World Cup Qual. OFC,"OFC, Group A",4,Papua New Guinea,3,0,1,2,5,8,,1
World Cup Qual. OFC,"OFC, Group B",1,New Zealand,3,3,0,0,19,1,,9
World Cup Qual. OFC,"OFC, Group B",2,Tahiti,3,2,0,1,5,3,,6
World Cup Qual. OFC,"OFC, Group B",3,Vanuatu,3,1,0,2,5,11,,3
World Cup Qual. OFC,"OFC, Group B",4,Samoa,3,0,0,3,1,15,,0
World Cup Qual. UEFA,"Qualification, UEFA, Group A",1,Germany,6,5,0,1,16,3,,15
World Cup Qual. UEFA,"Qualification, UEFA, Group A",2,Slovakia,6,4,0,2,6,8,,12
World Cup Qual. UEFA,"Qualification, UEFA, Group A",3,Northern Ireland,6,3,0,3,7,6,,9
World Cup Qual. UEFA,"Qualification, UEFA, Group A",4,Luxembourg,6,0,0,6,1,13,,0
World Cup Qual. UEFA,"Qualification, UEFA, Group B",1,Switzerland,6,4,2,0,14,2,,14
World Cup Qual. UEFA,"Qualification, UEFA, Group B",2,Kosovo,6,3,2,1,6,5,,11
World Cup Qual. UEFA,"Qualification, UEFA, Group B",3,Slovenia,6,0,4,2,3,8,,4
World Cup Qual. UEFA,"Qualification, UEFA, Group B",4,Sweden,6,0,2,4,4,12,,2
World Cup Qual. UEFA,"Qualification, UEFA, Group C",1,Scotland,6,4,1,1,13,7,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group C",2,Denmark,6,3,2,1,16,7,,11
World Cup Qual. UEFA,"Qualification, UEFA, Group C",3,Greece,6,2,1,3,10,12,,7
World Cup Qual. UEFA,"Qualification, UEFA, Group C",4,Belarus,6,0,2,4,4,17,,2
World Cup Qual. UEFA,"Qualification, UEFA, Group D",1,France,6,5,1,0,16,4,,16
World Cup Qual. UEFA,"Qualification, UEFA, Group D",2,Ukraine,6,3,1,2,10,11,,10
World Cup Qual. UEFA,"Qualification, UEFA, Group D",3,Iceland,6,2,1,3,13,11,,7
World Cup Qual. UEFA,"Qualification, UEFA, Group D",4,Azerbaijan,6,0,1,5,3,16,,1
World Cup Qual. UEFA,"Qualification, UEFA, Group E",1,Spain,6,5,1,0,21,2,,16
World Cup Qual. UEFA,"Qualification, UEFA, Group E",2,Türkiye,6,4,1,1,17,12,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group E",3,Georgia,6,1,0,5,7,15,,3
World Cup Qual. UEFA,"Qualification, UEFA, Group E",4,Bulgaria,6,1,0,5,3,19,,3
World Cup Qual. UEFA,"Qualification, UEFA, Group F",1,Portugal,6,4,1,1,20,7,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group F",2,Ireland,6,3,1,2,9,7,,10
World Cup Qual. UEFA,"Qualification, UEFA, Group F",3,Hungary,6,2,2,2,11,10,,8
World Cup Qual. UEFA,"Qualification, UEFA, Group F",4,Armenia,6,1,0,5,3,19,,3
World Cup Qual. UEFA,"Qualification, UEFA, Group G",1,Netherlands,8,6,2,0,27,4,,20
World Cup Qual. UEFA,"Qualification, UEFA, Group G",2,Poland,8,5,2,1,14,7,,17
World Cup Qual. UEFA,"Qualification, UEFA, Group G",3,Finland,8,3,1,4,8,14,,10
World Cup Qual. UEFA,"Qualification, UEFA, Group G",4,Malta,8,1,2,5,4,19,,5
World Cup Qual. UEFA,"Qualification, UEFA, Group G",5,Lithuania,8,0,3,5,6,15,,3
World Cup Qual. UEFA,"Qualification, UEFA, Group H",1,Austria,8,6,1,1,22,4,,19
World Cup Qual. UEFA,"Qualification, UEFA, Group H",2,Bosnia & Herzegovina,8,5,2,1,17,7,,17
World Cup Qual. UEFA,"Qualification, UEFA, Group H",3,Romania,8,4,1,3,19,10,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group H",4,Cyprus,8,2,2,4,11,11,,8
World Cup Qual. UEFA,"Qualification, UEFA, Group H",5,San Marino,8,0,0,8,2,39,,0
World Cup Qual. UEFA,"Qualification, UEFA, Group I",1,Norway,8,8,0,0,37,5,,24
World Cup Qual. UEFA,"Qualification, UEFA, Group I",2,Italy,8,6,0,2,21,12,,18
World Cup Qual. UEFA,"Qualification, UEFA, Group I",3,Israel,8,4,0,4,19,20,,12
World Cup Qual. UEFA,"Qualification, UEFA, Group I",4,Estonia,8,1,1,6,8,21,,4
World Cup Qual. UEFA,"Qualification, UEFA, Group I",5,Moldova,8,0,1,7,5,32,,1
World Cup Qual. UEFA,"Qualification, UEFA, Group J",1,Belgium,8,5,3,0,29,7,,18
World Cup Qual. UEFA,"Qualification, UEFA, Group J",2,Wales,8,5,1,2,21,11,,16
World Cup Qual. UEFA,"Qualification, UEFA, Group J",3,North Macedonia,8,3,4,1,13,10,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group J",4,Kazakhstan,8,2,2,4,9,13,,8
World Cup Qual. UEFA,"Qualification, UEFA, Group J",5,Liechtenstein,8,0,0,8,0,31,,0
World Cup Qual. UEFA,"Qualification, UEFA, Group K",1,England,8,8,0,0,22,0,,24
World Cup Qual. UEFA,"Qualification, UEFA, Group K",2,Albania,8,4,2,2,7,5,,14
World Cup Qual. UEFA,"Qualification, UEFA, Group K",3,Serbia,8,4,1,3,9,10,,13
World Cup Qual. UEFA,"Qualification, UEFA, Group K",4,Latvia,8,1,2,5,5,15,,5
World Cup Qual. UEFA,"Qualification, UEFA, Group K",5,Andorra,8,0,1,7,3,16,,1
World Cup Qual. UEFA,"Qualification, UEFA, Group L",1,Croatia,8,7,1,0,26,4,,22
World Cup Qual. UEFA,"Qualification, UEFA, Group L",2,Czechia,8,5,1,2,18,8,,16
World Cup Qual. UEFA,"Qualification, UEFA, Group L",3,Faroe Islands,8,4,0,4,11,9,,12
World Cup Qual. UEFA,"Qualification, UEFA, Group L",4,Montenegro,8,3,0,5,8,17,,9
World Cup Qual. UEFA,"Qualification, UEFA, Group L",5,Gibraltar,8,0,0,8,3,28,,0
